Gene_id,Condition
TCGA_DM_A288_01A,Cancer
TCGA_QL_A97D_01A,Cancer
TCGA_CM_6164_01A,Cancer
TCGA_G4_6299_01A,Cancer
TCGA_AA_3542_01A,Cancer
TCGA_AZ_4615_01A,Cancer
TCGA_AA_3549_01A,Cancer
TCGA_AY_4071_01A,Cancer
TCGA_CM_4752_01A,Cancer
TCGA_AA_3688_01A,Cancer
TCGA_AA_3854_01A,Cancer
TCGA_A6_3809_01A,Cancer
TCGA_CM_6165_01A,Cancer
TCGA_CM_4751_01A,Cancer
TCGA_A6_5659_01A,Cancer
TCGA_AA_3494_01A,Cancer
TCGA_CM_4750_01A,Cancer
TCGA_CM_6161_01A,Cancer
TCGA_NH_A50U_01A,Cancer
TCGA_DM_A0XF_01A,Cancer
TCGA_AA_3529_01A,Cancer
TCGA_AA_3949_01A,Cancer
TCGA_AA_3848_01A,Cancer
TCGA_CA_6715_01A,Cancer
TCGA_AA_3818_01A,Cancer
TCGA_AA_3710_01A,Cancer
TCGA_AA_3950_01A,Cancer
TCGA_AA_A00N_01A,Cancer
TCGA_A6_6138_01A,Cancer
TCGA_D5_6538_01A,Cancer
TCGA_CM_5341_01A,Cancer
TCGA_AA_3715_01A,Cancer
TCGA_AA_3506_01A,Cancer
TCGA_AA_3673_01A,Cancer
TCGA_AA_3517_11A,Normal
TCGA_AU_3779_01A,Cancer
TCGA_AA_3496_11A,Normal
TCGA_CK_5916_01A,Cancer
TCGA_QG_A5Z1_01A,Cancer
TCGA_AD_6890_01A,Cancer
TCGA_A6_2685_01A,Cancer
TCGA_AA_A00W_01A,Cancer
TCGA_AA_A00Z_01A,Cancer
TCGA_A6_2686_01A,Cancer
TCGA_CA_5255_01A,Cancer
TCGA_G4_6317_02A,Cancer
TCGA_A6_A5ZU_01A,Cancer
TCGA_AZ_4614_01A,Cancer
TCGA_AA_3713_11A,Normal
TCGA_NH_A50V_01A,Cancer
TCGA_QG_A5YX_01A,Cancer
TCGA_A6_2677_01A,Cancer
TCGA_AZ_6608_01A,Cancer
TCGA_CA_6717_01A,Cancer
TCGA_AA_3527_01A,Cancer
TCGA_CM_4746_01A,Cancer
TCGA_A6_2682_11A,Normal
TCGA_D5_6539_01A,Cancer
TCGA_5M_AAT6_01A,Cancer
TCGA_A6_4105_01A,Cancer
TCGA_F4_6569_01A,Cancer
TCGA_AA_A00R_01A,Cancer
TCGA_CM_4743_01A,Cancer
TCGA_CK_6747_01A,Cancer
TCGA_D5_6533_01A,Cancer
TCGA_A6_2672_01B,Cancer
TCGA_QG_A5Z2_01A,Cancer
TCGA_A6_6780_01A,Cancer
TCGA_F4_6459_01A,Cancer
TCGA_AA_3970_01A,Cancer
TCGA_NH_A8F7_01A,Cancer
TCGA_G4_6321_01A,Cancer
TCGA_AZ_6600_11A,Normal
TCGA_AY_6196_01A,Cancer
TCGA_AA_3524_01A,Cancer
TCGA_DM_A1D0_01A,Cancer
TCGA_AZ_6601_11A,Normal
TCGA_G4_6307_01A,Cancer
TCGA_5M_AATE_01A,Cancer
TCGA_AA_3697_01A,Cancer
TCGA_NH_A6GA_01A,Cancer
TCGA_AY_6197_01A,Cancer
TCGA_AA_3672_01A,Cancer
TCGA_AA_3684_01A,Cancer
TCGA_A6_2684_01C,Cancer
TCGA_AZ_4323_01A,Cancer
TCGA_AA_3971_01A,Cancer
TCGA_AA_3989_01A,Cancer
TCGA_AA_3514_11A,Normal
TCGA_AA_A00D_01A,Cancer
TCGA_CM_6171_01A,Cancer
TCGA_AA_3697_11A,Normal
TCGA_A6_2679_01A,Cancer
TCGA_A6_2674_01A,Cancer
TCGA_NH_A5IV_01A,Cancer
TCGA_A6_5664_01A,Cancer
TCGA_AZ_4315_01A,Cancer
TCGA_AZ_6598_11A,Normal
TCGA_F4_6806_01A,Cancer
TCGA_AA_3510_01A,Cancer
TCGA_AY_A71X_01A,Cancer
TCGA_AA_3488_01A,Cancer
TCGA_DM_A28F_01A,Cancer
TCGA_G4_6293_01A,Cancer
TCGA_5M_AAT4_01A,Cancer
TCGA_AU_6004_01A,Cancer
TCGA_A6_5657_01A,Cancer
TCGA_AA_3941_01A,Cancer
TCGA_DM_A28K_01A,Cancer
TCGA_A6_2678_11A,Normal
TCGA_CM_5344_01A,Cancer
TCGA_AA_3517_01A,Cancer
TCGA_G4_6309_01A,Cancer
TCGA_A6_3810_01A,Cancer
TCGA_AY_6386_01A,Cancer
TCGA_AA_3678_01A,Cancer
TCGA_AA_3531_11A,Normal
TCGA_AA_A01X_01A,Cancer
TCGA_AA_3821_01A,Cancer
TCGA_CM_6677_01A,Cancer
TCGA_AA_3531_01A,Cancer
TCGA_G4_6586_01A,Cancer
TCGA_D5_6923_01A,Cancer
TCGA_F4_6703_01A,Cancer
TCGA_AZ_6599_11A,Normal
TCGA_A6_3809_01B,Cancer
TCGA_A6_2677_01B,Cancer
TCGA_NH_A6GB_01A,Cancer
TCGA_CM_5349_01A,Cancer
TCGA_G4_6625_01A,Cancer
TCGA_AA_3530_01A,Cancer
TCGA_G4_6627_01A,Cancer
TCGA_DM_A28G_01A,Cancer
TCGA_D5_6537_01A,Cancer
TCGA_D5_5539_01A,Cancer
TCGA_CM_6163_01A,Cancer
TCGA_AZ_6607_01A,Cancer
TCGA_AA_3534_11A,Normal
TCGA_AA_A004_01A,Cancer
TCGA_AA_A00E_01A,Cancer
TCGA_AA_A010_01A,Cancer
TCGA_AA_A02J_01A,Cancer
TCGA_AA_3869_01A,Cancer
